,Name,City,State,School Ownership,Number of Undergraduate Students,Share of Female Students,Share of Male Students,Share of Undergraduates Aged 25 and Above,Average Age of Entry,Admission Rate,Completion Rate,Median Earnings of Students 10 Years After Entry,Median Debt for Students Who Have Completed,Share of Students Who Received a Federal Loan,Median Family Income,Average Cost of Attendance,Average Faculty Salary,Net Tuition Revenue per Student
0,University of Phoenix-Arizona,Tempe,AZ,3,77269,0.6972811618,0.3027188382,0.8601,32.0,,0.1433,47100.0,31977.0,0.8428559903,18602.0,20083.0,4485.0,13180
1,Southern New Hampshire University,Manchester,NH,2,68214,0.6766710402,0.3233289598,0.7502,31.0,0.7805,0.488,45400.0,18347.5,0.9295320359,27192.0,49005.0,8012.0,10531
2,University of Central Florida,Orlando,FL,1,56366,0.5891445164,0.4108554836,0.1791,23.0,0.499,0.7001,45400.0,18130.0,0.69814608,31400.0,20950.0,9881.0,5720
3,Texas A & M University-College Station,College Station,TX,1,52568,0.5116777884,0.4883222116,0.0297,20.0,0.7054,0.821,58000.0,18519.5,0.8046552272,58904.0,28143.0,11165.0,10518
4,Miami Dade College,Miami,FL,1,51015,0.581049681,0.418950319,0.2815,22.0,,0.3119,31100.0,8750.0,0.085088334,18391.0,12476.0,7102.0,1729
5,Grand Canyon University,Phoenix,AZ,3,48666,0.743284234,0.256715766,0.5772,31.0,0.6692,0.4075,52700.0,18750.0,0.8791040792,29879.0,31051.0,6482.0,10977
6,Liberty University,Lynchburg,VA,2,45364,0.6439648587,0.3560351413,0.5506,30.0,0.2979,0.4697,36700.0,24483.0,0.8642093201,31696.0,37388.0,5682.0,11353
7,Ohio State University-Main Campus,Columbus,OH,1,44853,0.5203439089,0.47965609109999996,0.0741,20.0,0.4806,0.8264,46100.0,21500.0,0.8563816905,64713.0,25498.0,12153.0,15068
8,University of Maryland-University College,Adelphi,MD,1,42289,0.5443589096,0.4556410904,0.7566,29.0,,0.0881,51200.0,18215.0,0.555906108,30322.0,18719.0,6279.0,8545
9,Arizona State University-Tempe,Tempe,AZ,1,42181,0.5568306611,0.4431693389,0.1063,24.0,0.8415,0.6335,47700.0,20000.0,0.7940918076,35851.0,24353.0,11348.0,18995
10,Florida International University,Miami,FL,1,41834,0.6069360848,0.39306391519999995,0.2369,23.0,0.5407,0.5662,46300.0,17250.0,0.5978217254,23924.0,19055.0,10225.0,6406
11,Pennsylvania State University-Main Campus,University Park,PA,1,40553,0.5012260053,0.49877399469999995,0.0186,21.0,0.5031,0.8481,50100.0,26120.0,0.9024450049,61924.0,35518.0,11211.0,27265
12,The University of Texas at Austin,Austin,TX,1,39965,0.5606045134,0.43939548660000005,0.0341,20.0,0.3649,0.8285,58200.0,21500.0,0.8165015828,53018.0,24933.0,12476.0,10026
13,Michigan State University,East Lansing,MI,1,38770,0.5534790109,0.44652098910000004,0.0295,19.0,0.7155,0.7934,53600.0,25200.0,0.8943837454,70982.0,27006.0,11705.0,18994
14,Valencia College,Orlando,FL,1,37954,0.5756013746,0.42439862539999995,0.2499,22.0,,0.4134,32600.0,8000.0,0.3771232204,23247.0,10712.0,6551.0,2301
15,University of Houston,Houston,TX,1,35985,0.5257100149,0.4742899851,0.1642,22.0,0.6111,0.5368,51600.0,19250.0,0.7302690583,33197.0,24678.0,11419.0,10427
16,California State University-Northridge,Northridge,CA,1,35620,0.5794554799,0.4205445201,0.2046,22.0,0.5765,0.5127,45400.0,13833.0,0.4802055841,22839.0,15960.0,9744.0,5271
17,Rutgers University-New Brunswick,New Brunswick,NJ,1,35296,0.5539444444,0.4460555556,0.0762,21.0,0.578,0.8007,57900.0,22250.0,0.8429444444,43359.0,29550.0,11822.0,13487
18,Broward College,Fort Lauderdale,FL,1,35127,0.5896134839,0.4103865161,0.3412,24.0,,0.3047,34900.0,3500.0,0.2242763855,20743.0,13717.0,6719.0,1671
19,California State University-Fullerton,Fullerton,CA,1,35045,0.5980079371,0.4019920629,0.1948,22.0,0.4572,0.6624,47200.0,14804.0,0.4798070189,28124.0,17529.0,9747.0,5693
20,Brigham Young University-Idaho,Rexburg,ID,2,35038,0.5382646064,0.46173539360000004,0.4783,23.0,0.9479,0.595,42700.0,11000.0,0.5401846942,42100.0,11833.0,9093.0,2509
21,Texas State University,San Marcos,TX,1,34180,0.6008479288,0.39915207119999996,0.1138,21.0,0.7298,0.5394,45700.0,20775.5,0.8721851543,42889.0,21383.0,7960.0,8234
22,University of Florida,Gainesville,FL,1,33655,0.5937902879,0.4062097121,0.0388,21.0,0.4201,0.8803,56000.0,16195.5,0.6570691878,39127.0,21164.0,11746.0,8834
23,University of Arizona,Tucson,AZ,1,33428,0.5628539071,0.43714609289999995,0.0913,21.0,0.8358,0.6361,47300.0,19000.0,0.7928390975,43043.0,26080.0,10928.0,15765
24,Indiana University-Bloomington,Bloomington,IN,1,33104,0.5315707274,0.4684292726,0.0231,19.0,0.7601,0.7733,47700.0,21500.0,0.8466086568,75001.0,24739.0,10390.0,17398
25,The University of Texas at Arlington,Arlington,TX,1,32955,0.6641992791,0.3358007209,0.4695,27.0,0.7122,0.4998,48700.0,17750.0,0.7766477858,36453.0,21154.0,9371.0,7432
26,University of Illinois at Urbana-Champaign,Champaign,IL,1,32884,0.4948371724,0.5051628276,0.0168,19.0,0.6153,0.8503,61500.0,20127.0,0.8666742312,62485.0,30064.0,12166.0,14814
27,Florida State University,Tallahassee,FL,1,32614,0.5844654153,0.41553458470000004,0.0483,20.0,0.4919,0.8017,46400.0,20250.0,0.7457222856,43729.0,22426.0,10893.0,6237
28,The University of Alabama,Tuscaloosa,AL,1,32387,0.6152524168,0.3847475832,0.0725,21.0,0.533,0.6787,44500.0,23290.0,0.9107411386,66733.0,28836.0,10016.0,13574
29,Kennesaw State University,Kennesaw,GA,1,32309,0.4741253897,0.5258746103,0.1951,22.0,0.6063,0.4174,,20375.0,0.8300658123,43182.0,23919.0,7099.0,6409
30,Purdue University-Main Campus,West Lafayette,IN,1,31887,0.4732072498,0.5267927502,0.0382,19.0,0.5747,0.7836,55100.0,20428.0,0.7990543735,81833.0,22718.0,12150.0,16418
31,University of Minnesota-Twin Cities,Minneapolis,MN,1,31535,0.5593906672,0.44060933280000003,0.0856,20.0,0.4959,0.801,51900.0,20000.0,0.8768800617,76028.0,25790.0,11759.0,13355
32,University of North Texas,Denton,TX,1,31448,0.5485318429,0.4514681571,0.1543,22.0,0.7241,0.5431,45000.0,20000.0,0.8319294655,40028.0,21907.0,10813.0,9511
33,California State University-Long Beach,Long Beach,CA,1,31402,0.5901544561,0.40984554390000005,0.1742,22.0,0.2799,0.6874,48100.0,15000.0,0.5494342116,26465.0,18104.0,9865.0,4920
34,Brigham Young University-Provo,Provo,UT,2,31233,0.4795278495,0.5204721505000001,0.1195,21.0,0.524,0.827,59700.0,10802.5,0.4741792696,46790.0,17801.0,10712.0,5755
35,Ashford University,San Diego,CA,3,31046,0.7799183785,0.2200816215,0.8758,33.0,,0.0765,41200.0,33349.5,0.8621326463,17066.0,23057.0,6401.0,13062
36,University of California-Los Angeles,Los Angeles,CA,1,30994,0.6031569586,0.39684304140000004,0.0488,21.0,0.161,0.9087,60700.0,15000.0,0.7162072032,32613.0,33751.0,17629.0,18313
37,University of South Florida-Main Campus,Tampa,FL,1,30918,0.605735746,0.394264254,0.1854,22.0,0.4536,0.7092,43500.0,18750.0,0.7141686582,32495.0,19868.0,10030.0,7059
38,University of California-Berkeley,Berkeley,CA,1,30574,0.5464962539,0.4535037461,0.0552,21.0,0.1711,0.9107,64700.0,13200.0,0.6641692375,31227.0,36172.0,16679.0,20277
39,Texas Tech University,Lubbock,TX,1,30330,0.4967522425,0.5032477575000001,0.0949,21.0,0.6918,0.5928,51400.0,22102.0,0.8611197031,51321.0,22615.0,8928.0,9263
40,University of Washington-Seattle Campus,Seattle,WA,1,30295,0.5746355424,0.42536445759999997,0.0816,22.0,0.4642,0.8439,57700.0,15000.0,0.7133530096,39205.0,25360.0,12625.0,17222
41,Iowa State University,Ames,IA,1,30116,0.4624236966,0.5375763034000001,0.0449,20.0,0.8934,0.7343,50700.0,23256.0,0.9072350645,76488.0,19878.0,10857.0,10357
42,University of California-Davis,Davis,CA,1,30046,0.6267241379,0.37327586209999997,0.0603,21.0,0.4336,0.8519,58200.0,14000.0,0.7363146552,33783.0,34435.0,14048.0,15911
43,University of Wisconsin-Madison,Madison,WI,1,29930,0.5311327832,0.4688672168,0.0449,20.0,0.5381,0.8723,56200.0,22241.0,0.8415603901,92428.0,25121.0,11908.0,13132
44,San Diego State University,San Diego,CA,1,29781,0.5842020419,0.4157979581,0.1359,22.0,0.3542,0.7424,51000.0,15000.0,0.5983879635,32530.0,21051.0,10605.0,6887
45,University of Michigan-Ann Arbor,Ann Arbor,MI,1,29550,0.5349348406,0.46506515940000004,0.0159,20.0,0.265,0.9159,63400.0,19153.0,0.7965143665,65045.0,28652.0,11258.0,23581
46,University of California-Irvine,Irvine,CA,1,29295,0.5660897365,0.43391026349999995,0.0464,20.0,0.3651,0.8488,58400.0,16500.0,0.6933083453,34735.0,31976.0,14989.0,15149
47,University of Maryland-College Park,College Park,MD,1,29273,0.508934661,0.49106533900000005,0.0643,20.0,0.445,0.8529,62900.0,19500.0,0.8023462011,67353.0,25701.0,13017.0,14270
48,Temple University,Philadelphia,PA,1,29037,0.550251859,0.44974814100000005,0.1046,21.0,0.5667,0.7102,50500.0,25500.0,0.9404333573,59850.0,31599.0,10798.0,22122
49,College of Southern Nevada,Las Vegas,NV,1,28959,0.6147236222,0.3852763778,0.3783,25.0,,0.0864,32300.0,9636.0,0.3918863092,22219.0,11628.0,7075.0,2461
50,University of Georgia,Athens,GA,1,28740,0.5743758213,0.4256241787,0.0286,20.0,0.5401,0.8527,50500.0,18750.0,0.8344283837,64178.0,26022.0,11126.0,12088
51,University of California-San Diego,La Jolla,CA,1,28577,0.5198560768,0.4801439232,0.0562,20.0,0.3399,0.8452,59900.0,17500.0,0.7414712154,35914.0,31794.0,14740.0,17287
52,University of Colorado Boulder,Boulder,CO,1,28565,0.4815162907,0.5184837093,0.0575,20.0,0.7984,0.6881,50800.0,19500.0,0.8687343358,70221.0,29215.0,8487.0,19631
53,California State University-Sacramento,Sacramento,CA,1,28410,0.5933941764,0.40660582359999997,0.2271,23.0,0.6776,0.4807,48900.0,15250.0,0.5322903086,27217.0,18989.0,9477.0,5078
54,San Jose State University,San Jose,CA,1,27591,0.521976626,0.47802337399999995,0.1787,22.0,0.6688,0.5675,56100.0,15000.0,0.5950203252,29408.0,23030.0,10325.0,7511
55,Utah Valley University,Orem,UT,1,27428,0.47188775,0.52811225,0.2421,23.0,,0.298,43800.0,14500.0,0.5676186685,31983.0,13138.0,7897.0,5150
56,Virginia Polytechnic Institute and State University,Blacksburg,VA,1,27120,0.4649326521,0.5350673479,0.0209,19.0,0.7006,0.844,62500.0,23250.0,0.9058677814,89378.0,25762.0,11374.0,13777
57,Northern Arizona University,Flagstaff,AZ,1,26974,0.6385814497,0.36141855030000003,0.1949,24.0,0.8085,0.5529,40100.0,19500.0,0.7918160561,41212.0,26314.0,8239.0,8015
58,Palm Beach State College,Lake Worth,FL,1,26335,0.5921297078,0.40787029220000004,0.302,23.0,,0.333,33300.0,5475.0,0.1736193211,21408.0,9659.0,6334.0,1937
59,New York University,New York,NY,2,26055,0.6113892365,0.3886107635,0.0445,20.0,0.2766,0.8354,61900.0,22900.0,0.8459011264,51965.0,67865.0,13719.0,35390
60,San Francisco State University,San Francisco,CA,1,25966,0.5840236686,0.4159763314,0.1843,22.0,0.7046,0.5359,49200.0,16711.5,0.6043392505,27895.0,22313.0,10411.0,5230
61,The University of Texas at San Antonio,San Antonio,TX,1,25709,0.5416743841,0.4583256159,0.1534,21.0,0.7946,0.3666,45300.0,21989.5,0.7685682534,36359.0,19906.0,9261.0,7672
62,University of South Carolina-Columbia,Columbia,SC,1,25550,0.5560063937,0.44399360629999995,0.0557,20.0,0.7231,0.7502,44900.0,23000.0,0.9092585762,74190.0,26079.0,10697.0,13184
63,University of Cincinnati-Main Campus,Cincinnati,OH,1,25523,0.5598467922,0.4401532078,0.1235,22.0,0.7649,0.6886,42300.0,22500.0,0.8730450048,57821.0,26829.0,9708.0,13004
64,Georgia State University,Atlanta,GA,1,25031,0.6300794494,0.36992055059999995,0.1827,23.0,0.6985,0.5347,43300.0,22206.5,0.6950053135,27922.0,24857.0,8775.0,7672
65,Oregon State University,Corvallis,OR,1,24921,0.5083557321,0.49164426790000004,0.2167,23.0,0.7884,0.6534,49600.0,23393.0,0.8601145261,44450.0,26121.0,9735.0,11691
66,St Petersburg College,Clearwater,FL,1,24824,0.6171915782,0.38280842179999996,0.4798,26.0,,0.2858,32900.0,15474.0,0.5388028537,22640.0,12040.0,6937.0,2146
67,Washington State University,Pullman,WA,1,24797,0.5742963356,0.42570366439999996,0.1569,22.0,0.7306,0.6244,50600.0,20348.5,0.8267657993,44850.0,25433.0,9792.0,10066
